	JRef	JMRef	JCtrl	JLin	JRob
Médias: 0.140736	0.249201	0.248806	0.160176	0.175859
Variancias: 0.107039	2.117141	2.088467	0.115546	0.278463
DP: 0.327168	1.455040	1.445153	0.339921	0.527696
Máximo: 3.941698	4.476374	3.597743	3.321294	5.142190
Mínimo: 0.022260	0.025593	0.017000	0.026207	0.000000

	TRef	TMRef	TCtrl	TLin	TRob
Médias: 49.962734	30.077785	30.077232	20.131600	9.454375
Variancias: 0.138690	2.146512	2.108527	0.116368	7.081741
DP: 0.372411	1.465098	1.452077	0.341128	2.661154
Máximo: 53.941698	34.476374	33.597743	23.321294	15.142190
Mínimo: 0.237614	0.093853	0.069967	0.079038	0.000000

