	JRef	JMRef	JCtrl	JLin	JRob
Médias: 0.358383	0.357612	0.356777	0.228536	0.193404
Variancias: 1.656585	3.351270	3.077181	0.852628	0.573365
DP: 1.287084	1.830647	1.754190	0.923379	0.757209
Máximo: 10.494918	11.670261	9.847311	15.546599	13.644976
Mínimo: 0.029216	0.020926	0.013896	0.022990	0.000000

	TRef	TMRef	TCtrl	TLin	TRob
Médias: 50.175261	30.185032	30.187492	20.198197	9.471861
Variancias: 1.688711	3.371000	2.949186	0.853454	7.400635
DP: 1.299504	1.836028	1.717319	0.923826	2.720411
Máximo: 60.494918	41.670261	39.847311	35.546599	23.644976
Mínimo: 0.069230	0.086530	0.068791	0.070569	0.000000

