	JRef	JMRef	JCtrl	JLin	JRob
Médias: 0.108929	0.166512	0.176477	0.118486	0.107759
Variancias: 0.004408	1.928512	1.958752	0.085276	0.080363
DP: 0.066391	1.388709	1.399554	0.292021	0.283484
Máximo: 0.824705	1.991673	3.159649	7.549315	2.980326
Mínimo: 0.023447	0.027252	0.025070	0.044466	0.000000

	TRef	TMRef	TCtrl	TLin	TRob
Médias: 49.930443	29.995178	30.004861	20.089956	9.386271
Variancias: 0.036186	1.936983	1.953329	0.086093	6.785201
DP: 0.190227	1.391755	1.397616	0.293415	2.604842
Máximo: 50.824705	31.991673	33.159649	27.549315	12.980326
Mínimo: 0.105306	0.104798	0.135007	0.100915	0.000000

