	JRef	JMRef	JCtrl	JLin	JRob
Médias: 0.079368	0.159663	0.149255	0.085270	0.090363
Variancias: 0.000257	1.942274	1.927025	0.008201	0.082332
DP: 0.016017	1.393655	1.388173	0.090562	0.286936
Máximo: 0.224569	2.934626	0.995192	2.015529	2.708176
Mínimo: 0.054304	0.025828	0.022976	0.032651	0.000000

	TRef	TMRef	TCtrl	TLin	TRob
Médias: 49.900808	29.988266	29.977791	20.056712	9.368883
Variancias: 0.032033	1.949313	1.932942	0.009017	6.762229
DP: 0.178978	1.396178	1.390303	0.094960	2.600429
Máximo: 50.224569	32.934626	30.995192	22.015529	12.708176
Mínimo: 0.077197	0.073282	0.078871	0.074244	0.000000

